Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
3992, -104.0941, 0.0049205, 0.038374, 0.86048, 0.039951, 0.087986, 8.9063, 0.0042133, 446.75, 1.3589, 4.3759, 0.5833, 0.098069, 0.032844, 6.4894, 5.2578, 29.869, 0.42558, 0.40905,1e-26,0.34429,0.0091265
3993, -104.5329, 0.0024614, 0.0019849, 0.31977, 6.1248, 0.014126, 75.266, 0.031834, 0.068137, 0.22137, 7.7988, 0.16868, 0.040723, 0.019769, 2.0727, 0.021936, 0.34872, 0.90855, 0.096997,1e-26,66.942,0.0025312
3994, -104.5506, 0.0034544, 0.03322, 0.84413, 0.039951, 0.087986, 9.5463, 0.0043397, 446.75, 1.3589, 4.3759, 0.5833, 0.13199, 0.032844, 6.4894, 2.8398, 29.869, 0.42558, 0.61778,1e-26,1.0052,0.0091265
3995, -104.5690, 0.0049205, 0.049808, 0.77771, 0.022994, 0.087986, 9.5463, 0.0029197, 307.73, 1.3589, 4.3759, 0.5833, 0.13199, 0.022689, 6.4894, 5.2578, 29.869, 0.50336, 0.70038,1e-26,0.67615,0.0091265
3996, -104.7853, 0.0066744, 0.05719, 0.60416, 0.039951, 0.087986, 7.3387, 0.0029197, 315.16, 1.2423, 6.4411, 0.64817, 0.13199, 0.032844, 6.4894, 4.7546, 27.013, 0.42142, 0.49712,1e-26,0.72246,0.0091265
3997, -105.5979, 0.0049205, 0.038374, 0.60416, 0.039951, 0.087986, 9.5463, 0.0042156, 446.75, 1.9298, 4.3759, 0.5833, 0.13199, 0.032844, 6.4894, 4.2047, 34.113, 0.42558, 0.61778,1e-26,0.77318,0.0048152
3998, -105.9533, 0.0063074, 0.0033405, 0.12013, 2.0003, 0.12649, 0.016002, 0.21286, 8.936, 0.0063197, 3.8864, 0.0033853, 9.6007, 0.79034, 31.468, 0.0034287, 0.18855, 0.13506, 8.0484,1e-26,53.491,3.3606
3999, -106.0633, 0.0049205, 0.038374, 0.60416, 0.039951, 0.087986, 9.5463, 0.0029197, 301.01, 1.3589, 4.3759, 0.5833, 0.13199, 0.033884, 6.4894, 5.5539, 29.869, 0.42558, 0.61778,1e-26,0.65009,0.0091265
4000, -106.3053, 0.0070157, 0.037976, 0.60416, 0.021619, 0.087986, 9.5463, 0.0043261, 446.75, 1.3589, 4.3759, 0.5833, 0.13199, 0.032844, 6.4894, 5.2578, 29.869, 0.42558, 0.61778,1e-26,0.67615,0.0091265
4001, -106.7187, 0.0049205, 0.038374, 0.60416, 0.0446, 0.087986, 11.115, 0.0029197, 284.79, 1.3589, 2.8731, 0.68802, 0.13199, 0.032844, 6.4894, 5.2578, 29.869, 0.56515, 0.31686,1e-26,0.58698,0.0092499
4002, -106.7876, 0.0049205, 0.03705, 0.60416, 0.039951, 0.12344, 9.5463, 0.0042849, 446.75, 1.3589, 4.3759, 0.5833, 0.13199, 0.032844, 9.1801, 5.2578, 37.064, 0.42558, 0.61778,1e-26,0.67615,0.0091265
4003, -106.9919, 0.0044101, 0.0021379, 0.1188, 1.0603, 0.0025338, 376, 0.92807, 0.094622, 0.04635, 0.20699, 4.6597, 1.2308, 0.014147, 11.195, 0.0040933, 0.71402, 0.53095, 0.1803,1e-26,0.16673,1.7004
4004, -107.0480, 0.0049205, 0.063021, 0.57984, 0.039951, 0.17326, 7.8759, 0.0041047, 446.75, 0.85357, 4.3759, 0.5833, 0.13199, 0.026516, 4.5896, 7.801, 29.869, 0.42132, 0.61778,1e-26,0.67615,0.0091265
4005, -107.2099, 0.0049205, 0.063021, 1.0182, 0.041028, 0.13701, 9.5463, 0.0041298, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.801, 29.869, 0.5084, 0.74409,1e-26,0.59615,0.012285
4006, -107.2140, 0.0049205, 0.044851, 0.87534, 0.039951, 0.13701, 9.5463, 0.0029197, 300.15, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.011281
4007, -107.5778, 0.0049205, 0.038374, 0.31427, 0.039951, 0.087986, 9.5463, 0.0043579, 446.75, 1.3589, 4.3759, 0.5833, 0.13199, 0.032844, 6.4894, 5.2578, 29.869, 0.42558, 0.61778,1e-26,0.67615,0.0091265
4008, -107.8227, 0.0040662, 0.0030653, 3.1927, 4.4271, 0.0076928, 22.576, 0.016105, 0.035347, 0.0073231, 0.06682, 0.051664, 0.71443, 0.01483, 3.5, 0.0013848, 4.2096, 0.16864, 0.47534,1e-26,95.01,0.032715
4009, -108.0717, 0.011754, 0.0014454, 6.1784, 2.6382, 0.14467, 1.1014, 3.1685, 0.36099, 0.0077318, 482.96, 0.025765, 0.084947, 0.071407, 77.794, 0.017556, 0.62182, 0.39764, 0.087107,1e-26,0.29803,0.25647
4010, -108.1383, 0.0049205, 0.049717, 0.87534, 0.027825, 0.11636, 8.9049, 0.0042827, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.028013, 4.5896, 5.2578, 21.484, 0.34179, 0.61778,1e-26,0.67615,0.010233
4011, -108.1728, 0.0049205, 0.050096, 0.87534, 0.039951, 0.11636, 9.9983, 0.0029197, 291.67, 1.0004, 4.3759, 0.5833, 0.13199, 0.032844, 5.9521, 5.2578, 29.869, 0.34179, 0.61778,1e-26,0.5981,0.0091265
4012, -108.2264, 0.0049205, 0.063021, 0.87534, 0.039951, 0.13701, 9.5463, 0.0043237, 446.75, 2.2474, 6.561, 0.5833, 0.13199, 0.032844, 4.5896, 7.3468, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
4013, -108.2400, 0.0049205, 0.038374, 0.39142, 0.039951, 0.087986, 9.5463, 0.0043671, 446.75, 1.3589, 4.3759, 0.5833, 0.13199, 0.026091, 6.4894, 4.1523, 29.869, 0.42558, 0.61778,1e-26,0.67615,0.012366
4014, -108.2525, 0.0049205, 0.050096, 0.87534, 0.039951, 0.11636, 9.5463, 0.0043297, 446.75, 1.5124, 2.7339, 0.5833, 0.13199, 0.030353, 4.5896, 5.2578, 29.869, 0.34179, 0.55319,1e-26,0.67615,0.01045
4015, -108.4204, 0.0049205, 0.050096, 0.87534, 0.039951, 0.16871, 9.5463, 0.0029197, 300.17, 1.5124, 4.3759, 0.5833, 0.15942, 0.032844, 4.5896, 5.2578, 29.869, 0.34179, 0.54204,1e-26,0.67615,0.0091265
