Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
14597, -14.1237, 5.316, 2.7895, 1.3911, 0.92798, 1.7033, 353.54, 8.6555, 0.058813, 0.0012385, 7.4135, 0.78578, 0.027138, 0.54133, 0.11539, 3.7537, 0.0026555, 134.95, 0.024623,9.244
14598, -14.1256, 4.4799, 2.7895, 0.49624, 0.92798, 2.3825, 384.57, 8.4707, 0.058813, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 3.7537, 0.0026185, 113.68, 0.024623,9.244
14599, -14.1265, 5.4188, 2.7895, 1.3911, 0.92798, 1.7662, 289.24, 8.6555, 0.058813, 0.0012385, 2.6657, 1.3744, 0.027138, 0.61937, 0.11539, 4.8128, 0.002331, 77.024, 0.024623,9.244
14600, -14.1465, 7.3543, 1.9019, 1.35, 0.92798, 1.7033, 384.57, 3.5658, 0.032354, 0.0016935, 5.0069, 1.9177, 0.014922, 0.54133, 0.13232, 2.5134, 0.0026185, 222.58, 0.024623,9.244
14601, -14.1471, 2.6682, 3.4948, 0.93428, 0.92798, 1.7033, 384.57, 6.1629, 0.058813, 0.001, 5.0069, 1.3744, 0.014144, 0.54133, 0.11539, 3.7537, 0.0026185, 222.58, 0.024623,9.244
14602, -14.1489, 5.316, 3.959, 1.3911, 0.92798, 2.4028, 353.54, 8.6555, 0.058813, 0.0012385, 5.0069, 1.2276, 0.027138, 0.54133, 0.11539, 4.1766, 0.0030048, 79.951, 0.023411,9.244
14603, -14.1545, 5.316, 2.7895, 1.3911, 1.3225, 1.7033, 451.51, 8.6555, 0.058813, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 3.6842, 0.0015839, 134.95, 0.024623,9.244
14604, -14.1546, 7.3543, 1.4718, 1.35, 0.92798, 2.1876, 501.21, 4.3825, 0.058813, 0.0016935, 5.3054, 1.3744, 0.025616, 0.54133, 0.18691, 2.5134, 0.0034339, 222.58, 0.024623,10.44
14605, -14.1552, 7.4353, 1.5102, 0.93428, 0.92798, 1.6525, 384.57, 6.1629, 0.058813, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 2.3816, 0.0026185, 298.79, 0.024623,9.244
14606, -14.1667, 5.8096, 2.7895, 1.3911, 0.52778, 1.7033, 353.54, 8.6555, 0.03508, 0.0016735, 5.0069, 1.3744, 0.03583, 0.54133, 0.15403, 3.7537, 0.0041353, 134.95, 0.031358,9.244
14607, -14.1719, 5.316, 3.3291, 1.3911, 0.92798, 1.7033, 353.54, 8.6555, 0.058813, 0.0012385, 5.0069, 0.78426, 0.027138, 0.54133, 0.11539, 3.7537, 0.0030048, 188.05, 0.024623,13.243
14608, -14.1834, 5.316, 2.9729, 1.3911, 1.1612, 1.7033, 353.54, 6.1359, 0.058813, 0.0012385, 5.0069, 1.3744, 0.025585, 0.54133, 0.1, 3.1844, 0.0019451, 134.95, 0.02023,9.244
14609, -14.1834, 5.316, 3.7759, 0.52933, 0.92798, 1.285, 488.43, 6.1629, 0.058813, 0.0012385, 5.0069, 1.1955, 0.027138, 0.54133, 0.11539, 5.2307, 0.0026185, 222.58, 0.018726,9.244
14610, -14.1840, 6.1386, 2.7895, 0.93428, 0.92798, 1.7033, 243.78, 6.8497, 0.046648, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 3.7537, 0.0026185, 222.58, 0.035269,9.244
14611, -14.1979, 7.3543, 2.2457, 1.35, 0.92798, 1.7033, 384.57, 5.1579, 0.058813, 0.0016935, 5.0069, 1.3313, 0.027138, 0.54133, 0.11732, 3.7426, 0.0026185, 293.91, 0.031292,9.244
14612, -14.1993, 5.316, 2.7895, 0.93428, 0.92382, 1.7033, 372.94, 6.1629, 0.033264, 0.0014932, 5.6476, 1.3744, 0.027138, 0.6615, 0.11539, 4.3609, 0.0037515, 222.58, 0.024623,6.199
14613, -14.2019, 5.316, 2.8348, 0.93428, 0.92798, 1.7033, 355.47, 6.1629, 0.032156, 0.001, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 3.7537, 0.0026185, 222.58, 0.024623,8.0251
14614, -14.2193, 7.878, 2.2457, 1.5131, 0.49274, 1.7924, 384.57, 5.1579, 0.084233, 0.0017152, 5.0069, 1.3744, 0.015099, 0.54133, 0.13232, 2.5134, 0.0026185, 222.58, 0.024623,9.244
14615, -14.2209, 7.3543, 1.9669, 1.35, 0.92798, 1.7033, 384.57, 3.2518, 0.058813, 0.0016935, 5.0069, 1.3744, 0.014977, 0.54133, 0.13232, 2.5134, 0.0026185, 222.58, 0.024623,11.154
14616, -14.2214, 4.6888, 2.2457, 1.35, 0.92798, 1.7033, 384.57, 5.1579, 0.058813, 0.0016935, 7.3424, 0.87763, 0.027138, 0.54133, 0.13232, 2.1268, 0.0026185, 262.75, 0.024623,9.244
14617, -14.2217, 9.3909, 1.3812, 0.89391, 0.92798, 2.1274, 366.95, 5.1579, 0.065112, 0.0013807, 7.0061, 1.3744, 0.027138, 0.54133, 0.13232, 2.5134, 0.0026185, 222.58, 0.024623,9.244
14618, -14.2283, 5.316, 2.7895, 1.2648, 0.48115, 1.7033, 384.57, 6.1629, 0.062236, 0.0012385, 5.0069, 1.3744, 0.017415, 0.32965, 0.1, 3.7537, 0.0026185, 222.58, 0.013223,9.244
14619, -14.2324, 7.3543, 1.2082, 1.35, 0.92798, 1.7033, 384.57, 5.1579, 0.059063, 0.0016935, 5.0069, 1.3744, 0.027138, 0.54133, 0.13232, 2.5134, 0.0028632, 222.58, 0.024623,9.244
14620, -14.2366, 7.3543, 1.6517, 1.35, 0.92798, 1.7033, 384.57, 5.1579, 0.058813, 0.0016935, 5.0069, 1.7817, 0.027138, 0.54133, 0.1, 2.5134, 0.002891, 222.58, 0.012313,9.244
14621, -14.2404, 7.3543, 1.1993, 1.35, 0.66915, 1.7033, 384.57, 5.1579, 0.058813, 0.0016935, 5.0803, 1.3744, 0.027138, 0.54133, 0.13232, 1.9818, 0.0030987, 239.23, 0.017608,9.244
14622, -14.2471, 8.3068, 1.3361, 1.35, 0.92798, 2.5367, 384.57, 5.1579, 0.058813, 0.0016935, 5.0069, 1.3744, 0.038398, 0.54133, 0.13232, 2.5134, 0.0026185, 222.58, 0.024623,9.244
14623, -14.2590, 4.8574, 2.2457, 1.829, 1.0031, 1.4854, 384.57, 5.1579, 0.058813, 0.0016935, 5.0069, 0.88167, 0.036703, 0.54133, 0.17261, 2.5134, 0.0035748, 224.69, 0.02943,9.244
14624, -14.2625, 3.6892, 2.9972, 1.3911, 0.92798, 1.7033, 474.45, 8.6555, 0.058813, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.1131, 3.2855, 0.0030048, 134.95, 0.012994,9.244
14625, -14.2668, 7.3543, 2.2457, 1.35, 0.90049, 2.4382, 566.77, 4.6438, 0.036516, 0.0016935, 5.0069, 1.3744, 0.027138, 0.54133, 0.13232, 2.5134, 0.0026185, 222.58, 0.017804,9.244
14626, -14.2684, 7.4782, 2.2457, 1.35, 0.92798, 1.7033, 384.57, 4.3876, 0.035867, 0.0016935, 5.0069, 1.3744, 0.027138, 0.54133, 0.13232, 2.5134, 0.0026185, 222.58, 0.024623,9.244
14627, -14.2773, 7.3543, 2.2457, 1.35, 0.92798, 1.7033, 384.57, 3.1137, 0.058813, 0.0016443, 5.0069, 1.3744, 0.027138, 0.54133, 0.13232, 2.5134, 0.0026185, 222.58, 0.012697,9.244
14628, -14.2797, 5.316, 2.7895, 1.3911, 0.92798, 1.7033, 353.54, 4.9966, 0.075539, 0.0010336, 5.0069, 1.3744, 0.027138, 0.57096, 0.11539, 3.7537, 0.0029793, 78.624, 0.024623,9.244
14629, -14.2810, 5.316, 2.7895, 1.3911, 0.92798, 1.7033, 353.54, 8.6555, 0.031887, 0.0012385, 5.0069, 1.3744, 0.027138, 0.69721, 0.11539, 3.7537, 0.0030048, 134.95, 0.024623,9.244
14630, -14.2883, 5.316, 2.7895, 0.81143, 1.2752, 1.1044, 384.57, 6.1629, 0.058813, 0.0012385, 3.8793, 1.3744, 0.027138, 0.54133, 0.14675, 3.7537, 0.0026185, 123.65, 0.024623,9.244
14631, -14.2937, 7.3543, 1.3993, 1.35, 0.92798, 1.7033, 363.01, 5.1579, 0.074827, 0.0016935, 5.0069, 1.3744, 0.027138, 0.54133, 0.13232, 2.5134, 0.0026185, 302.33, 0.024623,9.244
14632, -14.3043, 2.6836, 2.7895, 1.3911, 1.1915, 1.7033, 353.54, 7.4854, 0.058813, 0.0012385, 4.4119, 1.3744, 0.021313, 0.54133, 0.11539, 4.0866, 0.0030048, 134.95, 0.024623,9.244
14633, -14.3145, 5.316, 2.627, 1.9487, 0.92798, 1.178, 353.54, 7.4515, 0.033477, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 3.8564, 0.0030048, 134.95, 0.024623,11.757
